Mithun Manhas,M Manhas
David Hussey,DJ Hussey
Dwayne Smith,DR Smith
Suresh Raina,SK Raina
Brendon McCullum,BB McCullum
Dwayne Bravo,DJ Bravo
Ravindra Jadeja,RA Jadeja
MS Dhoni,MS Dhoni
Pawan Negi,P Negi
Ravichandran Ashwin,R Ashwin
Ashish Nehra,A Nehra
Ishwar Pandey,IC Pandey
Mohit Sharma,MM Sharma
Samuel Badree,S Badree
Jayant Yadav,UT Yadav
Kedar Jadhav,KM Jadhav
Manoj Tiwary,MK Tiwary
Mayank Agarwal,MA Agarwal
Murali Vijay,M Vijay
Ross Taylor,LRPL Taylor
Saurabh Tiwary,SS Tiwary
Quinton de Kock,Q de Kock
Laxmi Ratan Shukla,LR Shukla
Dinesh Karthik,KD Karthik
Nathan Coulter-Nile,NM Coulter-Nile
Jaidev Unadkat,JD Unadkat
Mohammed Shami,Mohammed Shami
Rahul Shukla,R Shukla
Shahbaz Nadeem,S Nadeem
Siddarth Kaul,S Kaul
Wayne Parnell,WD Parnell
Debabrata Das,DB Das
Gautam Gambhir,G Gambhir
Manish Pandey,MK Pandey
Robin Uthappa,RV Uthappa
Andre Russell,AD Russell
Jacques Kallis,JH Kallis
Ryan ten Doeschate,RN ten Doeschate
Yusuf Pathan,YK Pathan
Manvinder Bisla,MS Bisla
Piyush Chawla,PP Chawla
Morne Morkel,M Morkel
Sunil Narine,SP Narine
Cheteshwar Pujara,CA Pujara
David Miller,DA Miller
Gurkeerat Mann Singh,Gurkeerat Singh
Manan Vohra,M Vohra
Mandeep Singh,Mandeep Singh
Shaun Marsh,SE Marsh
Virender Sehwag,V Sehwag
Glenn Maxwell,GJ Maxwell
Akshar Patel,PA Patel
Rishi Dhawan,R Dhawan
Thisara Perera,NLTC Perera
Wriddhiman Saha,WP Saha
Mitchell Johnson,MG Johnson
Lakshmipathy Balaji,L Balaji
Murali Kartik,M Kartik
Parvinder Awana,P Awana
Michael Hussey,MEK Hussey
Rohit Sharma,RG Sharma
Aditya Tare,AP Tare
Ambati Rayudu,AT Rayudu
Kieron Pollard,KA Pollard
CM Gautam,CM Gautam
Harbhajan Singh,Harbhajan Singh
Jasprit Bumrah,JJ Bumrah
Lasith Malinga,SL Malinga
Pawan Suyal,P Suyal
Pragyan Ojha,PP Ojha
Praveen Kumar,P Kumar
Zaheer Khan,Z Khan
Virat Kohli,V Kohli
Chris Gayle,CH Gayle
AB de Villiers,AB de Villiers
Albie Morkel,JA Morkel
Yuvraj Singh,Yuvraj Singh
Ashok Dinda,AB Dinda
Muttiah Muralitharan,M Muralitharan
Ravi Rampaul,R Rampaul
Yuzvendra Chahal,YS Chahal
Ajinkya Rahane,AM Rahane
Brad Hodge,BJ Hodge
Unmukt Chand,UBT Chand
Abhishek Nayar,AM Nayar
Karun Nair,KK Nair
Steve Smith,SPD Smith
Sanju Samson,SV Samson
Rajat Bhatia,R Bhatia
Shane Watson,SR Watson
Stuart Binny,STR Binny
Dishant Yagnik,DH Yagnik
Ankit Sharma,Ankit Sharma
James Faulkner,JP Faulkner
Kevon Cooper,KK Cooper
Dhawal Kulkarni,DS Kulkarni
Iqbal Abdulla,Iqbal Abdulla
Kane Richardson,KW Richardson
Pravin Tambe,PV Tambe
Vikramjeet Malik,VS Malik
Aaron Finch,AJ Finch
David Warner,DA Warner
Manpreet Juneja,MC Juneja
Shikhar Dhawan,S Dhawan
Srikkanth Anirudha,S Anirudha
Lokesh Rahul,KL Rahul
Darren Sammy,DJG Sammy
Irfan Pathan,IK Pathan
Moises Henriques,MC Henriques
Naman Ojha,NV Ojha
Parveez Rasool,Parvez Rasool
Amit Mishra,A Mishra
Ashish Reddy,A Ashish Reddy
Bhuvneshwar Kumar,B Kumar
Dale Steyn,DW Steyn
Ishant Sharma,I Sharma
Jason Holder,JO Holder
Karn Sharma,KV Sharma
Angelo Mathews,AD Mathews
Azhar Mahmood,Azhar Mahmood
Sumit Narwal,S Narwal
Johan Botha,J Botha
Brad Hogg,GB Hogg
Abhimanyu Mithun,A Mithun
Subramaniam Badrinath,S Badrinath
Christopher Morris,CH Morris
Sagar Trivedi,SK Trivedi
Eoin Morgan,EJG Morgan
Hanuma Vihari,GH Vihari
Bipul Sharma,Bipul Sharma
Sandeep Sharma,Sandeep Sharma (1)
Vinay Kumar,R Vinay Kumar
