Mithun Manhas,2,6
David Hussey,11,37
Dwayne Smith,13,60
Suresh Raina,17,62
Brendon McCullum,1,7
Dwayne Bravo,18,68
Ravindra Jadeja,18,51
MS Dhoni,16,57
Pawan Negi,1,19
Ravichandran Ashwin,18,44
Ashish Nehra,10,34
Ishwar Pandey,2,5
Mohit Sharma,,0
Samuel Badree,1,11
Jayant Yadav,16,40
Kedar Jadhav,10,24
Manoj Tiwary,9,23
Mayank Agarwal,5,20
Murali Vijay,15,31
Ross Taylor,5,15
Saurabh Tiwary,6,26
Quinton de Kock,,0
Laxmi Ratan Shukla,3,10
Dinesh Karthik,19,45
Nathan Coulter-Nile,1,61
Jaidev Unadkat,13,45
Mohammed Shami,3,16
Rahul Shukla,3,24
Shahbaz Nadeem,12,48
Siddarth Kaul,6,38
Wayne Parnell,4,46
Debabrata Das,6,19
Gautam Gambhir,16,42
Manish Pandey,7,31
Robin Uthappa,16,42
Andre Russell,3,6
Jacques Kallis,16,73
Ryan ten Doeschate,4,38
Yusuf Pathan,16,40
Manvinder Bisla,14,27
Piyush Chawla,16,42
Morne Morkel,10,41
Sunil Narine,16,77
Cheteshwar Pujara,4,30
David Miller,12,72
Gurkeerat Mann Singh,9,18
Manan Vohra,10,27
Mandeep Singh,14,28
Shaun Marsh,8,59
Virender Sehwag,13,39
Glenn Maxwell,3,22
Akshar Patel,13,38
Rishi Dhawan,5,34
Thisara Perera,16,72
Wriddhiman Saha,3,39
Mitchell Johnson,17,66
Lakshmipathy Balaji,13,42
Murali Kartik,11,36
Parvinder Awana,14,45
Michael Hussey,17,79
Rohit Sharma,19,51
Aditya Tare,5,48
Ambati Rayudu,17,23
Kieron Pollard,18,62
CM Gautam,3,24
Harbhajan Singh,19,68
Jasprit Bumrah,2,45
Lasith Malinga,17,50
Pawan Suyal,1,40
Pragyan Ojha,15,44
Praveen Kumar,15,55
Zaheer Khan,2,78
Virat Kohli,16,73
Chris Gayle,16,93
AB de Villiers,14,49
Albie Morkel,8,51
Yuvraj Singh,13,52
Ashok Dinda,13,40
Muttiah Muralitharan,6,28
Ravi Rampaul,10,69
Yuzvendra Chahal,1,12
Ajinkya Rahane,18,43
Brad Hodge,14,38
Unmukt Chand,9,25
Abhishek Nayar,10,15
Karun Nair,2,4
Steve Smith,7,39
Sanju Samson,10,34
Rajat Bhatia,15,38
Shane Watson,16,96
Stuart Binny,17,47
Dishant Yagnik,9,22
Ankit Sharma,1,7
James Faulkner,16,81
Kevon Cooper,14,53
Dhawal Kulkarni,6,49
Iqbal Abdulla,5,52
Kane Richardson,3,42
Pravin Tambe,3,21
Vikramjeet Malik,3,46
Aaron Finch,14,58
David Warner,16,45
Manpreet Juneja,7,24
Shikhar Dhawan,10,50
Srikkanth Anirudha,1,-2
Lokesh Rahul,2,15
Darren Sammy,10,66
Irfan Pathan,15,49
Moises Henriques,10,51
Naman Ojha,2,5
Parveez Rasool,2,33
Amit Mishra,17,72
Ashish Reddy,10,27
Bhuvneshwar Kumar,16,53
Dale Steyn,17,73
Ishant Sharma,16,31
Jason Holder,6,22
Karn Sharma,13,45
Angelo Mathews,11,49
Azhar Mahmood,11,86
Sumit Narwal,2,24
Johan Botha,6,49
Brad Hogg,1,4
Abhimanyu Mithun,1,29
Subramaniam Badrinath,8,21
Christopher Morris,16,36
Sagar Trivedi,17,40
Eoin Morgan,13,39
Hanuma Vihari,17,24
Bipul Sharma,1,60
Sandeep Sharma,,0
Vinay Kumar,16,57
