JP Duminy,0.015
Mayank Agarwal,0.01
Khaleel Ahmed,
Sam Billings,0.007
Carlos Brathwaite,
Nathan Coulter-Nile,
Quinton de Kock,0.029
Akhil Herwadkar,0.0
Imran Tahir,
Shreyas Iyer,0.024
Zaheer Khan,
Mahipal Lomror,0.0
Chama Milind,
Amit Mishra,
Mohammed Shami,
Chris Morris,0.002
Shahbaz Nadeem,
Karun Nair,0.01
Pawan Negi,0.002
Rishabh Pant,0.0
Joel Paris,
Pratyush Singh,
Sanju Samson,0.007
Pawan Suyal,
Jayant Yadav,
Suresh Raina,0.029
Akshdeep Nath,
Dwayne Bravo,0.004
Aaron Finch,0.048
Ishan Kishan,
Ravindra Jadeja,0.002
Shadab Jakati,
Dinesh Karthik,0.007
Shivil Kaushik,
Dhawal Kulkarni,
Praveen Kumar,
Brendon McCullum,0.043
Pradeep Sangwan,
Jaydev Shah,
Umang Sharma,
Dwayne Smith,0.02
Dale Steyn,
Pravin Tambe,
Andrew Tye,
David Miller,0.02
Kyle Abbott,
Anureet Singh,
Armaan Jaffer,
Farhaan Behardien,0.0
K.C. Cariappa,
Rishi Dhawan,0.0
Gurkeerat Mann Singh,0.0
Mitchell Johnson,
Shaun Marsh,0.038
Glenn Maxwell,0.02
Nikhil Naik,0.01
Axar Patel,0.0
Wriddhiman Saha,0.005
Pardeep Sahu,
Sandeep Sharma,
Mohit Sharma,
Marcus Stoinis,0.012
Swapnil Singh,
Shardul Thakur,
Murali Vijay,0.024
Manan Vohra,0.01
Gautam Gambhir,0.038
Piyush Chawla,
John Hastings,
Brad Hogg,
Jason Holder,
Sheldon Jackson,0.0
Kuldeep Yadav,
Chris Lynn,0.029
Manan Sharma,
Morne Morkel,
Colin Munro,0.02
Sunil Narine,
Manish Pandey,0.012
Yusuf Pathan,0.01
Ankit Rajpoot,
Andre Russell,0.01
Rajagopal Sathish,0.0
Shakib Al Hasan,0.01
Jaidev Unadkat,
Robin Uthappa,0.043
Suryakumar Yadav,0.005
Umesh Yadav,
Rohit Sharma,0.067
Corey Anderson,0.012
Jasprit Bumrah,
Jos Buttler,0.024
Unmukt Chand,0.01
Marchant de Lange,
Shreyas Gopal,0.0
Harbhajan Singh,
Kishore Kamath,
Siddhesh Lad,0.0
Mitchell McClenaghan,
Lasith Malinga,
Hardik Pandya,
Krunal Pandya,
Parthiv Patel,0.015
Kieron Pollard,0.012
Deepak Punia,
Nitish Rana,0.012
Jitesh Sharma,
Ambati Rayudu,0.015
Lendl Simmons,0.059
Tim Southee,
Jagadeesha Suchith,
Vinay Kumar,
Akshay Wakhare,
MS Dhoni,0.01
Ankit Sharma,0.015
Baba Aparajith,0.01
Ravichandran Ashwin,
Murugan Ashwin,
Ankush Bains,0.015
Rajat Bhatia,0.007
Scott Boland,
Deepak Chahar,
Ashok Dinda,
Faf du Plessis,0.034
Peter Handscomb,0.01
Jaskaran Singh,
Mitchell Marsh,0.005
Albie Morkel,0.0
Ishwar Pandey,
Irfan Pathan,0.029
Thisara Perera,0.028
Kevin Pietersen,0.048
Ajinkya Rahane,0.048
Ishant Sharma,
RP Singh,
Steve Smith,0.024
Saurabh Tiwary,0.007
Adam Zampa,
Virat Kohli,0.1
Varun Aaron,
Abu Nechim,
Sreenath Arvind,
Samuel Badree,
Stuart Binny,0.005
Yuzvendra Chahal,
AB de Villiers,0.077
Praveen Dubey,
Chris Gayle,0.077
Travis Head,0.015
Iqbal Abdulla,
Kedar Jadhav,0.012
Akshay Karnewar,
Sarfaraz Khan,0.015
Vikramjeet Malik,
Mandeep Singh,0.008
Adam Milne,0.0
Harshal Patel,
Lokesh Rahul,0.015
Parveez Rasool,0.0
Kane Richardson,
Sachin Baby,0.0
Mitchell Starc,
Vikas Tokas,
Shane Watson,0.038
David Wiese,0.0
Shikhar Dhawan,0.034
Ashish Reddy,0.0
Ricky Bhui,0.0
Bipul Sharma,0.0
Trent Boult,
Ben Cutting,0.0
Moises Henriques,0.007
Deepak Hooda,0.005
Siddarth Kaul,
Bhuvneshwar Kumar,
Abhimanyu Mithun,
Eoin Morgan,0.01
Mustafizur Rahman,
Ashish Nehra,
Naman Ojha,0.005
Vijay Shankar,
Karn Sharma,0.0
Barinder Sran,
Tirumalasetti Suman,0.007
Aditya Tare,0.007
David Warner,0.043
Kane Williamson,0.038
Yuvraj Singh,0.015
James Faulkner,0.0
