JP Duminy,JP Duminy
Mayank Agarwal,M Agarwal
Khaleel Ahmed,KK Ahmed
Sam Billings,SW Billings
Carlos Brathwaite,CR Brathwaite
Nathan Coulter-Nile,NM Coulter-Nile
Quinton de Kock,Q de Kock
Akhil Herwadkar,AA Herwadkar
Imran Tahir,I Tahir
Shreyas Iyer,S Iyer
Zaheer Khan,Z Khan
Mahipal Lomror,MK Lomror
Chama Milind,CV Milind
Amit Mishra,Amit Mishra
Amit Mishra,A Mishra
Mohammed Shami,M Shami
Chris Morris,CH Morris
Shahbaz Nadeem,S Nadeem
Karun Nair,K Nair
Pawan Negi,P Negi
Rishabh Pant,RR Pant
Joel Paris,JS Paris
Pratyush Singh,Pratyush Singh
Sanju Samson,SV Samson
Pawan Suyal,P Suyal
Jayant Yadav,JP Yadav
Suresh Raina,S Raina
Akshdeep Nath,Akshdeep Nath
Dwayne Bravo,DJ Bravo
Aaron Finch,AJ Finch
Ishan Kishan,IPKP Kishan
Ravindra Jadeja,RA Jadeja
Shadab Jakati,SB Jakati
Dinesh Karthik,KD Karthik
Shivil Kaushik,S Kaushik
Dhawal Kulkarni,DS Kulkarni
Praveen Kumar,P Kumar
Brendon McCullum,BB McCullum
Pradeep Sangwan,PJ Sangwan
Jaydev Shah,JN Shah
Dwayne Smith,DR Smith
Dale Steyn,DW Steyn
Pravin Tambe,P Tambe
Andrew Tye,AJ Tye
David Miller,DA Miller
Kyle Abbott,KJ Abbott
Anureet Singh,Anureet Singh
Armaan Jaffer,A Jaffer
Farhaan Behardien,F Behardien
K.C. Cariappa,KC Cariappa
Rishi Dhawan,R Dhawan
Gurkeerat Mann Singh,Gurkeerat Singh
Mitchell Johnson,MG Johnson
Shaun Marsh,SE Marsh
Glenn Maxwell,G Maxwell
Nikhil Naik,NS Naik
Axar Patel,Akshar Patel
Wriddhiman Saha,WP Saha
Pardeep Sahu,P Sahu
Sandeep Sharma,Sandeep Sharma
Mohit Sharma,MM Sharma
Mohit Sharma,M Sharma
Marcus Stoinis,MP Stoinis
Shardul Thakur,SN Thakur
Murali Vijay,M Vijay
Manan Vohra,M Vohra
Gautam Gambhir,G Gambhir
Piyush Chawla,P Chawla
John Hastings,JW Hastings
Brad Hogg,GB Hogg
Jason Holder,JO Holder
Sheldon Jackson,SP Jackson
Kuldeep Yadav,K Yadav
Chris Lynn,C Lynn
Morne Morkel,M Morkel
Colin Munro,C Munro
Sunil Narine,SP Narine
Manish Pandey,M Pandey
Yusuf Pathan,Y Pathan
Ankit Rajpoot,AS Rajpoot
Andre Russell,AD Russell
Rajagopal Sathish,R Sathish
Shakib Al Hasan,S Al Hasan
Jaidev Unadkat,J Unadkat
Robin Uthappa,R Uthappa
Suryakumar Yadav,Suryakumar Yadav
Umesh Yadav,U Yadav
Rohit Sharma,RG Sharma
Corey Anderson,CJ Anderson
Jasprit Bumrah,JJ Bumrah
Jos Buttler,JC Buttler
Unmukt Chand,U Chand
Marchant de Lange,M de Lange
Shreyas Gopal,S Gopal
Harbhajan Singh,Harbhajan Singh
Kishore Kamath,Kishore Kamath
Siddhesh Lad,SD Lad
Mitchell McClenaghan,MJ McClenaghan
Lasith Malinga,SL Malinga
Hardik Pandya,Krunal Pandya
Parthiv Patel,PA Patel
Kieron Pollard,KA Pollard
Deepak Punia,DS Punia
Nitish Rana,N Rana
Jitesh Sharma,Jitesh Sharma
Ambati Rayudu,A Rayudu
Lendl Simmons,L Simmons
Tim Southee,TG Southee
Akshay Wakhare,AA Wakhare
MS Dhoni,MS Dhoni
Ankit Sharma,Ankit Sharma
Baba Aparajith,B Aparajith
Ravichandran Ashwin,Ravichandran Ashwin
Murugan Ashwin,Murugan Ashwin
Ankush Bains,AKS Bains
Rajat Bhatia,R Bhatia
Scott Boland,SM Boland
Deepak Chahar,Deepak Chahar
Ashok Dinda,AB Dinda
Faf du Plessis,F du Plessis
Peter Handscomb,PSP Handscomb
Jaskaran Singh,Jaskaran Singh
Mitchell Marsh,MR Marsh
Albie Morkel,JA Morkel
Ishwar Pandey,I Pandey
Irfan Pathan,I Pathan
Thisara Perera,NLTC Perera
Kevin Pietersen,KP Pietersen
Ajinkya Rahane,AM Rahane
Ishant Sharma,I Sharma
RP Singh,RP Singh
Steve Smith,SPD Smith
Saurabh Tiwary,SS Tiwary
Adam Zampa,A Zampa
Virat Kohli,V Kohli
Varun Aaron,VR Aaron
Abu Nechim,Abu Nechim
Samuel Badree,S Badree
Stuart Binny,S Binny
Yuzvendra Chahal,YS Chahal
AB de Villiers,AB de Villiers
Praveen Dubey,P Dubey
Chris Gayle,CH Gayle
Travis Head,TM Head
Iqbal Abdulla,SI Abdulla
Kedar Jadhav,KM Jadhav
Sarfaraz Khan,Sarfaraz Khan
Vikramjeet Malik,VS Malik
Mandeep Singh,Mandeep Singh
Adam Milne,AF Milne
Harshal Patel,Harshal Patel
Kane Richardson,KW Richardson
Sachin Baby,S Baby
Mitchell Starc,MA Starc
Shane Watson,SR Watson
David Wiese,D Wiese
Shikhar Dhawan,S Dhawan
Ashish Reddy,Ashish Reddy
Ricky Bhui,RK Bhui
Bipul Sharma,B Sharma
Trent Boult,TA Boult
Ben Cutting,B Cutting
Moises Henriques,M Henriques
Deepak Hooda,DJ Hooda
Siddarth Kaul,S Kaul
Bhuvneshwar Kumar,B Kumar
Abhimanyu Mithun,A Mithun
Eoin Morgan,EJG Morgan
Mustafizur Rahman,Mustafizur Rahman
Ashish Nehra,A Nehra
Naman Ojha,NVK Ojha
Vijay Shankar,V Shankar
Karn Sharma,KV Sharma
Barinder Sran,BB Sran
Tirumalasetti Suman,T Suman
Aditya Tare,AP Tare
David Warner,DA Warner
Kane Williamson,KS Williamson
Yuvraj Singh,Yuvraj Singh
James Faulkner,JP Faulkner
Jagadeesha Suchith,J Suchitch
Sreenath Arvind,S Aravind
