CH Gayle,0.133
V Kohli,0.133
AB de Villiers,0.111
DA Warner,0.111
KS Williamson,0.111
MA Starc,0.091
S Dhawan,0.091
TM Head,0.091
SR Watson,0.083
Mandeep Singh,0.077
TA Boult,0.067
Yuvraj Singh,0.067
D Wiese,0.059
EJG Morgan,0.059
M Henriques,0.059
NVK Ojha,0.059
S Badree,0.059
A Nehra,0.053
DJ Hooda,0.053
S Binny,0.053
T Suman,0.053
AF Milne,0.048
AP Tare,0.048
B Cutting,0.048
B Kumar,0.048
BB Sran,0.048
Mustafizur Rahman,0.048
VR Aaron,0.043
Abu Nechim,0.038
Harshal Patel,0.038
KV Sharma,0.038
KW Richardson,0.038
YS Chahal,0.038
A Mithun,0.034
KM Jadhav,0.034
Ashish Reddy,0.029
B Sharma,0.029
P Dubey,0.029
RK Bhui,0.029
S Aravind,0.029
S Baby,0.029
S Kaul,0.029
SI Abdulla,0.029
Sarfaraz Khan,0.029
V Shankar,0.029
VS Malik,0.029
BB McCullum,0.125
AJ Finch,0.111
SE Marsh,0.111
DJ Bravo,0.100
G Maxwell,0.100
M Vijay,0.100
MG Johnson,0.100
DR Smith,0.091
MP Stoinis,0.091
S Raina,0.091
DA Miller,0.083
M Vohra,0.083
JP Faulkner,0.077
KD Karthik,0.077
IPKP Kishan,0.067
RA Jadeja,0.067
WP Saha,0.067
DW Steyn,0.053
MM Sharma,0.053
Akshar Patel,0.048
Gurkeerat Singh,0.048
KJ Abbott,0.048
Sandeep Sharma,0.048
P Kumar,0.043
P Tambe,0.043
AJ Tye,0.038
ER Dwivedi,0.038
KC Cariappa,0.038
P Dogra,0.038
R Dhawan,0.038
Anureet Singh,0.034
DS Kulkarni,0.034
A Jaffer,0.029
Akshdeep Nath,0.029
F Behardien,0.029
JN Shah,0.029
NS Naik,0.029
P Sahu,0.029
PJ Sangwan,0.029
S Kaushik,0.029
S Ladda,0.029
SB Jakati,0.029
SN Thakur,0.029
AD Russell,0.100
G Gambhir,0.100
R Uthappa,0.100
SP Narine,0.100
Q de Kock,0.091
I Tahir,0.083
M Pandey,0.083
S Iyer,0.083
C Lynn,0.077
C Munro,0.077
JP Duminy,0.077
CR Brathwaite,0.067
M Agarwal,0.067
CH Morris,0.059
NM Coulter-Nile,0.059
RR Pant,0.059
S Al Hasan,0.059
SV Samson,0.059
Y Pathan,0.059
M Morkel,0.053
M Shami,0.053
U Yadav,0.053
A Mishra,0.048
GB Hogg,0.048
JO Holder,0.048
JP Yadav,0.048
JW Hastings,0.048
M Sharma,0.048
P Chawla,0.048
SW Billings,0.048
Z Khan,0.048
CV Milind,0.038
J Unadkat,0.038
JS Paris,0.038
Suryakumar Yadav,0.038
AA Herwadkar,0.034
P Negi,0.034
S Nadeem,0.034
AS Rajpoot,0.029
K Nair,0.029
K Yadav,0.029
KK Ahmed,0.029
MK Lomror,0.029
P Suyal,0.029
Pratyush Singh,0.029
R Sathish,0.029
SP Jackson,0.029
RG Sharma,0.133
AM Rahane,0.125
F du Plessis,0.100
KP Pietersen,0.100
L Simmons,0.100
Ravichandran Ashwin,0.091
JC Buttler,0.083
SL Malinga,0.083
KA Pollard,0.077
MR Marsh,0.077
SPD Smith,0.077
A Rayudu,0.067
CJ Anderson,0.067
Harbhajan Singh,0.067
I Pathan,0.067
JA Morkel,0.059
JJ Bumrah,0.048
MS Dhoni,0.048
N Rana,0.048
NLTC Perera,0.048
PA Patel,0.048
PSP Handscomb,0.048
R Bhatia,0.048
SS Tiwary,0.048
U Chand,0.048
AKS Bains,0.043
TG Southee,0.043
A Zampa,0.038
AB Dinda,0.038
Ankit Sharma,0.038
B Aparajith,0.038
I Pandey,0.038
I Sharma,0.038
MJ McClenaghan,0.038
RP Singh,0.038
S Gopal,0.038
AA Wakhare,0.029
DS Punia,0.029
Deepak Chahar,0.029
J Suchitch,0.029
Kishore Kamath,0.029
M de Lange,0.029
Krunal Pandya,0.029
RV Kumar,0.029
SD Lad,0.029
SM Boland,0.029
Jitesh Sharma,0.029
Murugan Ashwin,0.024
Jaskaran Singh,0.024
